>> Tool, Iteration, Result GCC O2, Result CLANG O2, SEED, File-Size, Start, End, Gen-Start, Gen-End, DIFF-Start, DIFF-END, TEST1-Comp-Start, TEST1-RUN-Start, TEST1-RUN-end, TEST2-Comp-Start, TEST2-Comp-end/TEST2-RUN-Start, TEST2-RUN-end
rm: cannot remove 'res1.txt': No such file or directory
>> Csmith, 49, checksum = 8B0D3826, checksum = 8B0D3826,  * Seed:      3408439028, 183044, 21:12:38, 21:12:43, 21:12:38, 21:12:42, 21:12:42, 21:12:43, 21:12:42, 21:12:42, 21:12:42, 21:12:42, 21:12:43, 21:12:43
>> Csmith, 50, checksum = F15A0C89, checksum = F15A0C89,  * Seed:      2951068756, 130826, 21:12:43, 21:12:46, 21:12:43, 21:12:45, 21:12:45, 21:12:46, 21:12:45, 21:12:46, 21:12:46, 21:12:46, 21:12:46, 21:12:46
>> Csmith, 51, checksum = D9848BA1, checksum = D9848BA1,  * Seed:      1731671144, 209672, 21:12:46, 21:12:59, 21:12:46, 21:12:56, 21:12:56, 21:12:59, 21:12:56, 21:12:57, 21:12:57, 21:12:57, 21:12:59, 21:12:59
>> Csmith, 52, checksum = A13A269B, checksum = A13A269B,  * Seed:      643040268, 173652, 21:12:59, 21:13:03, 21:12:59, 21:13:02, 21:13:02, 21:13:03, 21:13:02, 21:13:03, 21:13:03, 21:13:03, 21:13:03, 21:13:03
>> Csmith, 53, checksum = A626E956, checksum = A626E956,  * Seed:      1849330896, 138902, 21:13:03, 21:13:06, 21:13:03, 21:13:06, 21:13:06, 21:13:06, 21:13:06, 21:13:06, 21:13:06, 21:13:06, 21:13:06, 21:13:06
>> Csmith, 54, , ,  * Seed:      3568654700, 142887, 21:13:06, 21:13:20, 21:13:06, 21:13:09, 21:13:09, 21:13:20, 21:13:09, 21:13:10, 21:13:20, 21:13:20, 21:13:20, 21:13:20
>> Csmith, 55, , ,  * Seed:      444898768, 146212, 21:13:20, 21:13:32, 21:13:20, 21:13:22, 21:13:22, 21:13:32, 21:13:22, 21:13:22, 21:13:32, 21:13:32, 21:13:32, 21:13:32
>> Csmith, 56, checksum = 41AF22CB, checksum = 41AF22CB,  * Seed:      3933607668, 152426, 21:13:32, 21:13:35, 21:13:32, 21:13:34, 21:13:34, 21:13:35, 21:13:34, 21:13:34, 21:13:34, 21:13:34, 21:13:35, 21:13:35
>> Csmith, 57, checksum = B927A593, checksum = B927A593,  * Seed:      480636516, 56942, 21:13:35, 21:13:37, 21:13:35, 21:13:37, 21:13:37, 21:13:37, 21:13:37, 21:13:37, 21:13:37, 21:13:37, 21:13:37, 21:13:37
>> Csmith, 58, checksum = B0387C9F, checksum = B0387C9F,  * Seed:      870897940, 77912, 21:13:37, 21:13:39, 21:13:37, 21:13:38, 21:13:38, 21:13:39, 21:13:38, 21:13:39, 21:13:39, 21:13:39, 21:13:39, 21:13:39
